INDEX,UTM_X,UTM_Y,LON,LAT
276.0000000000000,250236.3484342372390,3688205.7761401957800,126.3174766031750,33.30404271
277.0000000000000,250236.5117830663220,3688205.6700249039600,126.3174783853259,33.30404179
278.0000000000000,250236.6681255637080,3688205.5530977752100,126.3174800952382,33.30404077
279.0000000000000,250236.8125492282850,3688205.4161520418700,126.3174816825395,33.30403957
280.0000000000000,250236.9609671671640,3688205.2881355448600,126.3174833103857,33.30403845
281.0000000000000,250237.1162753811220,3688205.1652674810000,126.3174850108517,33.30403738
282.0000000000000,250237.2566137495740,3688205.0316375317100,126.3174865534977,33.30403621
283.0000000000000,250237.4009771382840,3688204.8956972169700,126.3174881400423,33.30403502
284.0000000000000,250237.5413686683160,3688204.7629177207100,126.3174896831875,33.30403385
285.0000000000000,250237.6852863041270,3688204.6326438640300,126.3174912632845,33.30403271
286.0000000000000,250237.8342149404050,3688204.5062272585900,126.3174928962172,33.30403161
287.0000000000000,250237.9745965077600,3688204.3688616938900,126.3174944405028,33.3040304
288.0000000000000,250238.1149669227880,3688204.2297327313600,126.3174959850068,33.30402918
289.0000000000000,250238.2538097454520,3688204.0905697438900,126.3174975128769,33.30402796
290.0000000000000,250238.4108691547000,3688203.9757589055200,126.3174992301590,33.30402696
291.0000000000000,250238.5546207199510,3688203.8458268824000,126.3175008086622,33.30402583
292.0000000000000,250238.7093285779410,3688203.7316102348300,126.3175025000000,33.30402483
293.0000000000000,250238.8659378203730,3688203.6101182801700,126.3175042139368,33.30402377
294.0000000000000,250239.0125626380030,3688203.4790764246200,126.3175058234068,33.30402263
295.0000000000000,250239.1597917330800,3688203.3492739573100,126.3175074389823,33.30402149
296.0000000000000,250239.3018655577320,3688203.2169226836400,126.3175090000000,33.30402033
297.0000000000000,250239.4325134677630,3688203.0693330271200,126.3175104423855,33.30401903
298.0000000000000,250239.5690725880550,3688202.9354898356800,126.3175119446065,33.30401786
299.0000000000000,250239.6953581823030,3688202.8109294069000,126.3175133333330,33.30401677
300.0000000000000,250239.7445718022640,3688202.6248619766000,126.3175139136699,33.3040151
301.0000000000000,250239.8809098374330,3688202.4797216327900,126.3175154166940,33.30401383
302.0000000000000,250240.0228444829400,3688202.3438564846300,126.3175169771163,33.30401263
303.0000000000000,250240.1512693548570,3688202.1954385037600,126.3175183962781,33.30401133
304.0000000000000,250240.2988297062400,3688202.0648930515200,126.3175200154794,33.30401018
305.0000000000000,250240.4440246240990,3688201.9305196632600,126.3175216104055,33.30400901
306.0000000000000,250240.5912373923930,3688201.8094162079500,126.3175232235157,33.30400795
307.0000000000000,250240.7378437440200,3688201.6867756587500,126.3175248304900,33.30400688
308.0000000000000,250240.8903030166110,3688201.5614563664400,126.3175265008981,33.30400579
309.0000000000000,250241.0422495972590,3688201.4333449928100,126.3175281666670,33.30400467
310.0000000000000,250241.1935423456300,3688201.3052525282900,126.3175298253970,33.30400355
311.0000000000000,250241.3348495213140,3688201.1705507692000,126.3175313788087,33.30400237
312.0000000000000,250241.4882275498240,3688201.0524767474300,126.3175330570592,33.30400134
